기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	강서구	등촌1동	2	22,936	71,790	1	20,680	69,465	-	-	-	-	-	-	-	-	-	-	-	-	1	2,256	2,325
2019	강서구	등촌3동	1	34,259	110,026	-	-	-	1	34,259	110,026	-	-	-	-	-	-	-	-	-	-	-	-
2019	강서구	화곡3동	1	1,927	2,793	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,927	2,793
2019	강서구	화곡4동	1	1,422	2,314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,422	2,314
2019	강서구	가양2동	1	10,037	45,018	1	10,037	45,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	강서구	가양3동	1	16,691	53,093	1	16,691	53,093	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	강서구	발산1동	1	1,812	18,077	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,812	18,077
2019	강서구	방화1동	1	3,160	20,992	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,160	20,992
2019	강서구	방화2동	2	70,381	318,680	-	-	-	-	-	-	-	-	-	1	67,679	315,098	-	-	-	1	2,702	3,582
2019	강서구	화곡1동	3	5,128	31,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5,128	31,166
