기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	양천구	목2동	560	442	86	76	15	121	144	54	64
2019	양천구	목3동	439	283	39	57	9	71	107	86	70
2019	양천구	목4동	502	348	66	70	***	93	117	73	81
2019	양천구	신월1동	755	503	97	103	***	133	168	136	116
2019	양천구	신월2동	512	305	36	64	***	93	109	114	93
2019	양천구	신월3동	528	346	75	68	9	75	119	85	97
2019	양천구	신월4동	312	166	19	53	***	46	46	52	94
2019	양천구	신월5동	412	248	49	47	***	76	75	75	89
2019	양천구	신월6동	96	58	12	9	***	12	24	16	22
2019	양천구	신월7동	394	230	15	75	***	44	95	65	99
2019	양천구	신정1동	339	265	43	37	***	59	125	33	41
2019	양천구	신정2동	331	237	33	24	***	51	126	50	44
2019	양천구	신정3동	994	619	124	129	***	173	192	228	147
2019	양천구	신정6동	125	82	***	18	***	30	31	9	34
2019	양천구	신정7동	510	323	51	75	19	66	112	111	76
2019	양천구	목5동	305	218	19	29	***	87	82	23	64
2019	양천구	신정4동	1,599	1,229	254	155	15	365	440	232	138
2019	강서구	계	13,197	9,043	1,349	1,725	157	2,641	3,171	2,139	2,015
2019	강서구	염창동	306	214	23	54	15	43	79	24	68
2019	강서구	등촌1동	357	281	45	46	15	74	101	27	49
2019	강서구	등촌2동	257	182	21	41	***	44	75	33	42
2019	강서구	등촌3동	493	297	26	85	5	66	115	103	93
2019	강서구	화곡본동	1,013	674	60	149	20	195	250	180	159
2019	강서구	화곡2동	696	450	55	83	6	155	151	139	107
2019	강서구	화곡3동	446	319	50	48	***	118	100	74	53
2019	강서구	화곡4동	825	563	85	104	7	176	191	151	111
2019	강서구	화곡6동	527	356	42	71	19	91	133	82	89
2019	강서구	화곡8동	1,043	739	123	116	6	249	245	188	116
2019	강서구	가양1동	521	422	70	55	11	132	154	39	60
2019	강서구	가양2동	252	155	29	40	***	20	66	42	55
2019	강서구	가양3동	311	190	12	79	***	40	55	60	61
2019	강서구	발산1동	416	206	15	75	***	35	78	68	142
2019	강서구	공항동	1,108	804	154	110	12	261	267	180	124
2019	강서구	방화1동	762	495	92	95	***	160	144	97	170
2019	강서구	방화2동	641	467	77	73	8	118	191	93	81
2019	강서구	방화3동	421	289	39	75	***	62	113	51	81
2019	강서구	화곡1동	2,313	1,616	278	264	13	515	546	445	252
2019	강서구	우장산동	489	324	53	62	5	87	117	63	102
2019	구로구	계	54,937	46,036	14,085	3,224	502	14,836	13,389	6,532	2,369
2019	구로구	신도림동	665	495	101	65	14	111	204	77	93
2019	구로구	구로1동	344	222	22	57	5	46	92	55	67
2019	구로구	구로3동	3,682	3,006	698	241	33	1,092	942	496	180
2019	구로구	구로4동	8,837	7,612	2,458	447	28	2,608	2,071	995	230
2019	구로구	구로5동	6,017	5,072	1,580	310	62	1,638	1,482	751	194
2019	구로구	고척1동	846	651	103	60	117	114	257	115	80
2019	구로구	고척2동	1,398	1,037	246	119	9	388	275	221	140
2019	구로구	개봉2동	1,111	760	136	103	29	219	273	230	121
2019	구로구	개봉3동	984	695	152	93	18	192	240	183	106
2019	구로구	오류1동	1,352	1,029	201	123	12	391	302	211	112
2019	구로구	오류2동	2,146	1,276	214	226	24	415	397	501	369
2019	구로구	수궁동	858	598	115	72	13	211	187	155	105
2019	구로구	가리봉동	8,770	8,111	3,404	370	26	2,584	1,727	576	83
2019	구로구	구로2동	15,828	13,832	4,287	772	46	4,264	4,463	1,675	321
2019	구로구	개봉1동	2,099	1,640	368	166	66	563	477	291	168
2019	금천구	계	32,851	27,554	8,895	2,105	149	9,258	7,147	3,847	1,450
2019	금천구	가산동	5,433	4,893	1,841	225	45	1,582	1,200	419	121
2019	금천구	독산1동	4,035	3,415	1,099	265	39	1,094	918	439	181
2019	금천구	독산2동	3,473	2,919	967	235	15	979	723	401	153
2019	금천구	독산3동	7,986	6,810	2,343	481	16	2,313	1,657	932	244
2019	금천구	독산4동	3,915	3,304	1,032	236	12	1,143	881	473	138
2019	금천구	시흥1동	4,217	3,493	988	301	7	1,281	916	534	190
2019	금천구	시흥2동	348	182	16	52	***	44	70	85	81
2019	금천구	시흥3동	371	246	48	45	***	75	75	70	55
2019	금천구	시흥4동	1,667	1,247	294	145	5	402	401	256	164
2019	금천구	시흥5동	1,406	1,045	267	120	7	345	306	238	123
2019	영등포구	계	55,524	48,180	15,204	3,125	395	16,171	13,285	5,630	1,714
2019	영등포구	여의도동	792	671	58	81	***	220	308	23	98
2019	영등포구	당산1동	919	780	179	87	17	248	249	97	42
2019	영등포구	당산2동	863	715	119	82	50	199	265	86	62
2019	영등포구	양평1동	600	485	129	57	12	93	194	54	61
2019	영등포구	양평2동	486	386	99	55	22	85	125	41	59
2019	영등포구	신길1동	3,455	2,946	889	192	23	961	881	408	101
2019	영등포구	신길3동	2,448	2,035	600	160	6	707	562	289	124
2019	영등포구	신길4동	1,744	1,505	519	92	5	533	356	188	51
2019	영등포구	신길5동	2,517	2,182	721	160	7	713	581	271	64
2019	영등포구	신길6동	2,203	1,879	574	136	12	662	495	263	61
2019	영등포구	신길7동	474	364	64	39	***	113	145	72	38
2019	영등포구	대림1동	5,473	4,796	1,644	248	16	1,573	1,315	552	125
2019	영등포구	대림2동	13,853	12,358	4,320	638	38	4,157	3,205	1,298	197
2019	영등포구	대림3동	8,191	7,079	2,319	427	41	2,420	1,872	863	249
2019	영등포구	영등포본동	4,814	4,247	1,399	265	16	1,527	1,040	475	92
2019	영등포구	영등포동	1,160	972	184	99	86	230	373	120	68
2019	영등포구	도림동	5,060	4,452	1,353	253	30	1,666	1,150	469	139
2019	영등포구	문래동	472	328	34	54	7	64	169	61	83
2019	동작구	계	20,697	17,972	3,259	1,100	4,325	4,357	4,931	1,631	1,094
2019	동작구	노량진2동	1,633	1,436	446	70	48	459	413	154	43
2019	동작구	상도1동	2,885	2,723	70	78	1,679	148	748	66	96
2019	동작구	상도2동	756	570	87	67	76	149	191	97	89
2019	동작구	상도3동	842	635	124	71	28	199	213	123	84
2019	동작구	상도4동	890	666	132	89	38	226	181	136	88
2019	동작구	사당1동	1,251	1,054	274	73	56	373	278	130	67
2019	동작구	사당3동	604	494	96	56	42	147	153	40	70
2019	동작구	사당4동	387	308	73	38	26	84	87	42	37
2019	동작구	사당5동	281	208	30	34	18	55	71	36	37
2019	동작구	대방동	874	675	136	80	15	204	240	100	99
2019	동작구	신대방1동	4,550	4,017	1,314	190	62	1,505	946	419	114
2019	동작구	신대방2동	635	518	115	47	17	212	127	58	59
2019	동작구	흑석동	3,512	3,390	85	75	2,148	173	909	48	74
2019	동작구	노량진1동	645	497	73	54	63	141	166	85	63
2019	동작구	사당2동	952	781	204	78	9	282	208	97	74
2019	관악구	계	30,247	25,352	5,850	2,000	2,129	7,655	7,718	3,261	1,634
2019	관악구	보라매동	1,231	985	242	93	7	352	291	160	86
2019	관악구	청림동	293	214	29	26	30	42	87	31	48
2019	관악구	행운동	959	807	127	71	62	254	293	93	59
2019	관악구	낙성대동	2,434	2,322	235	71	987	218	811	55	57
2019	관악구	중앙동	823	695	184	57	32	250	172	84	44
2019	관악구	인헌동	666	537	78	73	57	148	181	58	71
2019	관악구	남현동	427	329	67	51	15	94	102	57	41
2019	관악구	서원동	1,366	1,135	241	105	51	334	404	156	75
2019	관악구	신원동	2,251	1,949	550	116	35	740	508	238	64
2019	관악구	서림동	1,051	882	114	70	241	172	285	88	81
2019	관악구	신사동	5,466	4,709	1,359	293	34	1,763	1,260	608	149
2019	관악구	신림동	1,279	1,133	287	66	46	368	366	121	25
2019	관악구	난향동	340	202	16	47	***	54	84	59	79
2019	관악구	조원동	3,521	3,038	961	188	28	1,073	788	396	87
2019	관악구	대학동	1,011	939	111	43	311	105	369	38	34
2019	관악구	은천동	1,256	975	210	110	14	345	296	181	100
2019	관악구	성현동	520	301	24	83	9	59	126	114	105
2019	관악구	청룡동	2,263	2,005	536	139	139	607	584	183	75
2019	관악구	난곡동	1,179	830	186	129	12	244	259	203	146
2019	관악구	삼성동	480	308	65	43	***	85	112	84	88
2019	관악구	미성동	1,431	1,057	228	126	15	348	340	254	120
2019	서초구	계	9,755	7,935	970	940	157	2,035	3,833	514	1,306
2019	서초구	서초1동	492	404	63	42	21	124	154	26	62
2019	서초구	서초2동	617	571	73	39	***	138	319	10	36
2019	서초구	서초3동	741	640	128	61	17	177	257	28	73
2019	서초구	서초4동	664	551	56	60	***	149	282	15	98
2019	서초구	잠원동	596	479	74	71	13	147	174	21	96
2019	서초구	반포본동	123	111	***	11	***	42	58	***	11
2019	서초구	반포1동	918	760	110	76	26	201	347	57	101
2019	서초구	반포2동	511	415	11	43	***	68	292	14	82
2019	서초구	반포3동	196	158	7	30	***	67	54	10	28
2019	서초구	반포4동	927	823	48	55	9	121	590	16	88
2019	서초구	방배본동	416	338	39	46	10	95	148	19	59
2019	서초구	방배1동	385	290	42	54	***	82	109	28	67
2019	서초구	방배2동	374	270	49	38	5	64	114	47	57
2019	서초구	방배3동	428	361	63	45	***	116	135	23	44
2019	서초구	방배4동	595	493	41	53	***	119	278	27	75
2019	서초구	양재1동	966	693	102	111	35	173	272	90	183
2019	서초구	양재2동	517	397	57	57	7	97	179	52	68
