기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	구로구	오류2동	990	-	1,620	794	1,246	102	238	94	136	-	-
2019	구로구	수궁동	417	-	623	338	465	43	107	36	51	-	-
2019	구로구	가리봉동	481	-	566	401	449	67	103	13	14	-	-
2019	구로구	구로2동	705	-	892	610	751	50	87	45	54	-	-
2019	구로구	개봉1동	893	-	1,273	751	1,008	100	197	42	68	-	-
2019	구로구	기타	17	23	475	17	17	-	-	-	-	23	458
2019	금천구	소계	7,383	28	10,524	5,973	7,837	1,360	2,252	50	65	28	370
2019	금천구	가산동	481	-	544	370	414	105	124	6	6	-	-
2019	금천구	독산1동	1,098	-	1,541	913	1,237	183	302	2	2	-	-
2019	금천구	독산2동	799	-	1,127	667	915	125	205	7	7	-	-
2019	금천구	독산3동	703	-	941	568	722	131	215	4	4	-	-
2019	금천구	독산4동	519	-	726	405	523	110	193	4	10	-	-
2019	금천구	시흥1동	996	-	1,360	813	1,081	173	268	10	11	-	-
2019	금천구	시흥2동	810	-	1,126	661	878	146	245	3	3	-	-
2019	금천구	시흥3동	224	-	323	192	260	29	59	3	4	-	-
2019	금천구	시흥4동	732	-	1,046	584	787	142	246	6	13	-	-
2019	금천구	시흥5동	1,014	-	1,413	794	1,013	215	395	5	5	-	-
2019	금천구	기타	7	28	377	6	7	1	-	-	-	28	370
2019	영등포구	소계	7,227	23	9,350	5,813	6,929	1,202	1,657	212	282	23	482
2019	영등포구	여의동	65	-	91	61	81	4	10	-	-	-	-
2019	영등포구	당산1동	341	-	406	274	322	48	63	19	21	-	-
2019	영등포구	당산2동	145	-	180	118	141	20	30	7	9	-	-
2019	영등포구	양평1동	209	-	272	173	212	32	56	4	4	-	-
2019	영등포구	양평2동	162	-	204	134	158	23	39	5	7	-	-
2019	영등포구	신길1동	544	-	673	425	505	88	119	31	49	-	-
2019	영등포구	신길3동	517	-	696	416	539	80	131	21	26	-	-
2019	영등포구	신길4동	389	-	522	319	403	57	96	13	23	-	-
2019	영등포구	신길5동	320	-	432	266	342	39	71	15	19	-	-
2019	영등포구	신길6동	328	-	436	267	343	48	75	13	18	-	-
2019	영등포구	신길7동	141	-	170	123	142	14	20	4	8	-	-
2019	영등포구	대림1동	347	-	462	292	373	47	81	8	8	-	-
2019	영등포구	대림2동	331	-	433	300	374	25	50	6	9	-	-
2019	영등포구	대림3동	516	-	715	439	577	56	107	21	31	-	-
2019	영등포구	영등포본동	675	-	754	562	622	95	114	18	18	-	-
2019	영등포구	영등포동	1,386	-	1,451	966	1,007	407	429	13	15	-	-
2019	영등포구	도림동	485	-	629	393	494	79	119	13	16	-	-
2019	영등포구	문래동	224	-	250	188	202	35	47	1	1	-	-
2019	영등포구	기타	102	23	574	97	92	5	-	-	-	23	482
2019	동작구	소계	7,413	13	10,623	6,290	8,322	1,049	1,802	74	111	13	388
2019	동작구	노량진2동	633	-	829	516	654	112	169	5	6	-	-
2019	동작구	상도1동	798	-	1,073	703	905	84	150	11	18	-	-
2019	동작구	상도2동	348	-	481	298	405	48	74	2	2	-	-
2019	동작구	상도3동	564	-	824	467	630	93	189	4	5	-	-
2019	동작구	상도4동	770	-	1,138	635	875	127	248	8	15	-	-
2019	동작구	사당1동	412	-	547	342	436	62	98	8	13	-	-
2019	동작구	사당3동	283	-	381	233	306	47	72	3	3	-	-
2019	동작구	사당4동	331	-	455	273	375	57	79	1	1	-	-
2019	동작구	사당5동	229	-	325	193	263	34	59	2	3	-	-
2019	동작구	대방동	889	-	1,360	758	1,097	120	246	11	17	-	-
2019	동작구	신대방1동	308	-	385	262	320	45	63	1	2	-	-
